H I       1  1  7.982E-11  0.7480  3.148E+00  7.036E+05
HeI a     2  2  3.294E-11  0.6910  1.554E+01  3.676E+07
HeI b     2  2  9.356E-10  0.7892  4.266E-02  4.677E+06
HeII      2  1  1.891E-10  0.7524  9.370E+00  2.774E+06
LiI       3  3  1.036E-11  0.3880  1.077E+02  1.177E+07
LiII      3  2  1.112E-10  0.6926  2.437E+01  8.323E+06
LiIII     3  1  3.039E-10  0.7539  1.871E+01  6.209E+06
BeII      4  3  2.338E-11  0.4211  3.647E+02  1.215E+07
BeIII     4  2  1.317E-10  0.6691  8.473E+01  1.412E+07
BeIV      4  1  4.290E-10  0.7557  3.000E+01  1.093E+07
B III     5  3  4.487E-11  0.4644  5.371E+02  1.465E+07
B IV      5  2  1.922E-10  0.6717  1.272E+02  1.975E+07
B V       5  1  5.437E-10  0.7560  4.576E+01  1.706E+07
C IV      6  3  8.540E-11  0.5247  5.014E+02  1.479E+07
C V       6  2  2.765E-10  0.6858  1.535E+02  2.556E+07
C VI      6  1  6.556E-10  0.7567  6.523E+01  2.446E+07
N V       7  3  1.169E-10  0.5470  6.793E+02  1.650E+07
N VI      7  2  3.910E-10  0.6988  1.611E+02  3.271E+07
N VII     7  1  7.586E-10  0.7563  9.015E+01  3.338E+07
O VI      8  3  2.053E-10  0.6019  4.772E+02  1.711E+07
O VII     8  2  4.897E-10  0.7048  1.906E+02  4.093E+07
O VIII    8  1  8.616E-10  0.7563  1.191E+02  4.352E+07
F VII     9  3  2.739E-10  0.6188  5.033E+02  2.064E+07
F VIII    9  2  5.602E-10  0.7052  2.476E+02  5.077E+07
F IX      9  1  9.712E-10  0.7566  1.499E+02  5.498E+07
NeVIII   10  3  3.200E-10  0.6198  6.329E+02  2.616E+07
NeIX     10  2  6.161E-10  0.7029  3.274E+02  6.243E+07
NeX      10  1  1.085E-09  0.7570  1.834E+02  6.776E+07
NaI      11 11  5.641E-12  0.1749  3.077E+02  2.617E+06
NaIX     11  3  3.873E-10  0.6295  7.000E+02  2.989E+07
NaX      11  2  6.833E-10  0.7018  4.060E+02  7.491E+07
NaXI     11  1  1.163E-09  0.7558  2.328E+02  8.262E+07
MgII     12 11  1.920E-11  0.3028  4.849E+02  5.890E+06
MgX      12  3  4.284E-10  0.6287  8.748E+02  3.586E+07
MgXI     12  2  7.510E-10  0.7020  4.921E+02  8.643E+07
MgXII    12  1  1.317E-09  0.7574  2.585E+02  9.769E+07
AlIII    13 11  3.753E-11  0.3585  6.848E+02  9.035E+06
AlXI     13  3  4.881E-10  0.6326  9.941E+02  4.085E+07
AlXII    13  2  8.182E-10  0.7008  5.875E+02  1.007E+08
AlXIII   13  1  1.419E-09  0.7578  3.057E+02  1.143E+08
SiIV     14 11  5.942E-11  0.3930  8.962E+02  1.213E+07
SiXII    14  3  5.373E-10  0.6337  1.164E+03  4.677E+07
SiXIII   14  2  8.722E-10  0.6996  7.098E+02  1.155E+08
SiXIV    14  1  1.517E-09  0.7574  3.601E+02  1.329E+08
