# converted from SWRI into Leiden file style
# 
# wavelength   photoionisation
1.000000000000000194e-02 2.329999999999999914e-29
1.000000000000000000e+00 1.650000000000000045e-22
2.000000000000000000e+00 1.600000000000000078e-21
2.278000000000000025e+00 2.879999999999999839e-21
2.435999999999999943e+00 3.500000000000000335e-21
2.605000000000000426e+00 4.239999999999999773e-21
2.785000000000000142e+00 5.129999999999999678e-21
2.978000000000000203e+00 6.189999999999999809e-21
3.185000000000000497e+00 7.459999999999999690e-21
3.406000000000000583e+00 8.970000000000000466e-21
3.642000000000000348e+00 1.080000000000000043e-20
3.894000000000000128e+00 1.289999999999999943e-20
4.063000000000000611e+00 1.449999999999999988e-20
4.145000000000000462e+00 1.529999999999999936e-20
4.229000000000000092e+00 1.619999999999999914e-20
4.314000000000000057e+00 1.719999999999999924e-20
4.400999999999999801e+00 1.829999999999999964e-20
4.490000000000000213e+00 1.940000000000000005e-20
4.581000000000000405e+00 2.060000000000000077e-20
4.673000000000000043e+00 2.189999999999999878e-20
4.767999999999999794e+00 2.319999999999999981e-20
4.864000000000000767e+00 2.470000000000000146e-20
4.961999999999999744e+00 2.620000000000000010e-20
5.063000000000000611e+00 2.780000000000000206e-20
5.165000000000000036e+00 2.949999999999999831e-20
5.269000000000000128e+00 3.140000000000000120e-20
5.376000000000000334e+00 3.329999999999999807e-20
5.484000000000000874e+00 3.540000000000000158e-20
5.595000000000000639e+00 3.760000000000000239e-20
5.708000000000000185e+00 3.990000000000000050e-20
5.823000000000000398e+00 4.230000000000000194e-20
5.940999999999999837e+00 4.500000000000000129e-20
6.060999999999999943e+00 4.770000000000000065e-20
6.182999999999999829e+00 5.069999999999999793e-20
6.307999999999999829e+00 5.379999999999999852e-20
6.435999999999999943e+00 5.719999999999999704e-20
6.565999999999999837e+00 6.070000000000000490e-20
6.698000000000000398e+00 6.439999999999999532e-20
6.834000000000000519e+00 6.839999999999999571e-20
6.972000000000000419e+00 7.269999999999999401e-20
7.112999999999999545e+00 7.719999999999999896e-20
7.256000000000000227e+00 8.189999999999999850e-20
7.403000000000000469e+00 8.699999999999999929e-20
7.551999999999999602e+00 9.239999999999999800e-20
7.705000000000000071e+00 9.809999999999999463e-20
7.861000000000000654e+00 1.039999999999999979e-19
8.019000000000000128e+00 1.110000000000000016e-19
8.181000000000000938e+00 1.170000000000000082e-19
8.346999999999999531e+00 1.250000000000000089e-19
8.515000000000000568e+00 1.320000000000000006e-19
8.687000000000001165e+00 1.410000000000000105e-19
8.862999999999999545e+00 1.490000000000000112e-19
9.041999999999999815e+00 1.590000000000000062e-19
9.224000000000000199e+00 1.679999999999999920e-19
9.410999999999999588e+00 1.789999999999999961e-19
9.601000000000000867e+00 1.900000000000000001e-19
9.795000000000001705e+00 2.010000000000000042e-19
9.993000000000002103e+00 2.140000000000000024e-19
1.019000000000000128e+01 2.269999999999999766e-19
1.040000000000000036e+01 2.410000000000000080e-19
1.060999999999999943e+01 2.559999999999999763e-19
1.083000000000000007e+01 2.719999999999999779e-19
1.104000000000000092e+01 2.890000000000000126e-19
1.127000000000000135e+01 3.069999999999999842e-19
1.149000000000000199e+01 3.259999999999999890e-19
1.173000000000000043e+01 3.459999999999999789e-19
1.188000000000000078e+01 3.500000000000000154e-19
1.228000000000000114e+01 3.760000000000000119e-19
1.325999999999999979e+01 4.990000000000000026e-19
1.419000000000000128e+01 5.610000000000000386e-19
1.475999999999999979e+01 6.139999999999999684e-19
1.578000000000000114e+01 7.690000000000000103e-19
1.710999999999999943e+01 9.049999999999999993e-19
1.714000000000000057e+01 9.360000000000000654e-19
