#################
H + CH -> C + H2                                            [3.000000e+02, 2.000000e+03]            2.70e-11 * Tgas32**(0.38)
H + CH2 -> CH + H2                                          [3.000000e+02, 2.500000e+03]            6.64e-11
H + CH3 -> CH2 + H2                                         [3.000000e+02, 2.500000e+03]            1.00e-10 * exp(-7600.0*invTgas)
H + CH4 -> CH3 + H2                                         [3.000000e+02, 2.500000e+03]            5.94e-13 * Tgas32**(3.00) * exp(-4045.0*invTgas)
H + OH -> O + H2                                            [3.000000e+02, 2.500000e+03]            6.99e-14 * Tgas32**(2.80) * exp(-1950.0*invTgas)
H + H2O -> OH + H2                                          [2.500000e+02, 3.000000e+03]            1.59e-11 * Tgas32**(1.20) * exp(-9610.0*invTgas)
H + CO -> OH + C                                            [2.590000e+03, 4.100000e+04]            1.10e-10 * sqrTgas32 * exp(-77700.0*invTgas)
H + O2 -> OH + O                                            [2.500000e+02, 4.000000e+03]            2.61e-10 * exp(-8156.0*invTgas)
H2 + C -> CH + H                                            [3.000000e+02, 2.500000e+03]            6.64e-10 * exp(-11700.0*invTgas)
H2 + CH -> CH2 + H                                          [3.000000e+02, 2.500000e+03]            5.46e-10 * exp(-1943.0*invTgas)
H2 + CH2 -> CH3 + H                                         [3.000000e+02, 2.500000e+03]            5.18e-11 * Tgas32**(0.17) * exp(-6400.0*invTgas)
H2 + CH3 -> CH4 + H                                         [3.000000e+02, 2.500000e+03]            6.86e-14 * Tgas32**(2.74) * exp(-4740.0*invTgas)
H2 + O -> OH + H                                            [2.970000e+02, 3.532000e+03]            3.14e-13 * Tgas32**(2.70) * exp(-3150.0*invTgas)
H2 + OH -> H2O + H                                          [2.500000e+02, 2.581000e+03]            2.05e-12 * Tgas32**(1.52) * exp(-1736.0*invTgas)
H2 + O2 -> OH + OH                                          [3.000000e+02, 2.500000e+03]            3.16e-10 * exp(-21890.0*invTgas)
C + CH2 -> CH + CH                                          [1.000000e+03, 4.000000e+03]            2.69e-12 * exp(-23550.0*invTgas)
C + OH -> O + CH                                            [4.930000e+02, 4.100000e+04]            2.25e-11 * sqrTgas32 * exp(-14800.0*invTgas)
C + OH -> CO + H                                            [, 3.000000e+02]                        1.10e-10 * sqrTgas32
C + O2 -> CO + O                                            [, 1.000000e+04]                        3.30e-11
CH + O -> OH + C                                            [, 6.000000e+03]                        2.52e-11 * exp(-2381.0*invTgas)
CH + O -> CO + H                                            [, 2.000000e+03]                        6.60e-11
CH + CH4 -> CH3 + CH2                                       [1.000000e+02, 3.000000e+02]            2.28e-11 * Tgas32**(0.70) * exp(-3000.0*invTgas)
CH + O2 -> CO + OH                                          [2.980000e+02, 2.980000e+02]            2.60e-11
CH2 + CH2 -> CH3 + CH                                       [3.000000e+02, 2.500000e+03]            4.00e-10 * exp(-5000.0*invTgas)
CH2 + O -> OH + CH                                          [1.900000e+03, 2.300000e+03]            4.98e-10 * exp(-6000.0*invTgas)
CH2 + O -> CO + H + H                                       [, 2.500000e+03]                        1.33e-10
CH2 + O -> CO + H2                                          [1.900000e+03, 2.600000e+03]            8.00e-11
CH2 + CH4 -> CH3 + CH3                                      [2.960000e+02, 2.500000e+03]            7.13e-12 * exp(-5050.0*invTgas)
CH2 + OH -> O + CH3                                         [1.000000e+02, 3.000000e+02]            1.44e-11 * sqrTgas32 * exp(-3000.0*invTgas)
CH2 + OH -> H2O + CH                                        [1.000000e+02, 3.000000e+02]            1.44e-11 * sqrTgas32 * exp(-3000.0*invTgas)
CH2 + O2 -> CO + H2O                                        [1.000000e+03, 1.828000e+03]            2.48e-10 * Tgas32**(-3.30) * exp(-1443.0*invTgas)
CH3 + CH3 -> CH4 + CH2                                      [1.950000e+03, 2.300000e+03]            7.13e-12 * exp(-5052.0*invTgas)
CH3 + OH -> CH4 + O                                         [2.980000e+02, 2.500000e+03]            3.27e-14 * Tgas32**(2.20) * exp(-2240.0*invTgas)
CH3 + OH -> H2O + CH2                                       [3.000000e+02, 1.000000e+03]            1.20e-10 * exp(-1400.0*invTgas)
CH3 + H2O -> OH + CH4                                       [3.000000e+02, 3.000000e+03]            2.30e-15 * Tgas32**(3.47) * exp(-6681.0*invTgas)
O + CH4 -> OH + CH3                                         [2.980000e+02, 2.500000e+03]            2.29e-12 * Tgas32**(2.20) * exp(-3820.0*invTgas)
O + OH -> O2 + H                                            [, 1.000000e+04]                        4.34e-11 * Tgas32_m05 * exp(-30.0*invTgas)
O + H2O -> OH + OH                                          [3.000000e+02, 2.500000e+03]            1.85e-11 * Tgas32**(0.95) * exp(-8571.0*invTgas)
CH4 + OH -> H2O + CH3                                       [1.780000e+02, 3.000000e+03]            3.77e-13 * Tgas32**(2.42) * exp(-1162.0*invTgas)
OH + OH -> H2O + O                                          [, 1.000000e+04]                        1.65e-12 * Tgas32**(1.14) * exp(-50.0*invTgas)
H + CH+ -> C+ + H2                                          [, 3.000000e+02]                        7.50e-10
